0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -1.1529850818E-01 -1.5298964351E-01 1.2475235180E-01 -9.2445245943E-02    -2.7764466403E-02 1.0201631401E-01 -5.7984514171E-03 -1.9933649921E-02 -1.7125549560E-01    4.0977813829E-02 -1.6915534797E-01 1.7516611243E-01 7.5902444470E-02 -6.9043574141E-02     -3.9500944981E-02 -1.0386058308E-02 -1.0655400174E-01 1.1035166280E-01 5.7918402435E-01     2.4880064350E-01 3.3029262541E-01 -6.1886734733E-01 7.2841718746E-02 9.7112127910E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -3.8111279501E-01 8.9891902080E-02 9.7252570612E-03 -3.0335370817E-01     -9.1128992619E-02 -2.9107767554E-02 -1.8307699608E-02 -6.8119971561E-02 -5.6130342527E-01   -8.7677075695E-02 -5.5284090788E-01 -1.5495483508E-01 8.9169582659E-02 -1.0582554881E-01   3.8431834258E-02 -4.5850168146E-02 6.2111858766E-02 -1.0941468437E-01 -1.6851831156E-01     -7.3090116350E-02 -9.5984813308E-02 1.7999889949E-01 -2.0601047788E-02 -2.8479048628E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 8.0746397914E-02 3.8822235701E-01 -5.2214266641E-01 7.2604434725E-02      6.0175087929E-02 -3.3670966343E-01 9.1949501614E-02 -1.0664551504E-01 -4.7800778486E-02     4.0259745277E-01 -6.1640632049E-02 2.7086429596E-01 3.8840766897E-01 -2.5972239101E-01     -4.3867110601E-01 3.9892737356E-01 3.9234623484E-01 -2.7234577259E-01 -2.2400521517E-02     -5.2235852522E-02 5.4010189863E-02 -2.6881975053E-02 -5.0725127253E-02 -5.1892251928E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 1.2481690739E-01 1.3950198423E-01 -3.1282355670E-03 1.0980588272E-01      9.0652530648E-02 5.8921270792E-03 1.4112255790E-01 -1.5800459914E-01 -7.3094541933E-02      -3.5179152219E-02 -9.0990330684E-02 -2.4179350449E-02 -7.1767197748E-02 6.1077412213E-02   -9.9708446010E-03 5.3625857732E-02 1.6160183072E-01 -1.4799092621E-01 2.3635179027E-01      4.8012458139E-01 -4.9274900681E-01 2.5588553092E-01 3.9473847986E-01 3.9560824317E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 4.1173361111E-01 -1.1823458971E-01 1.0676709228E-01 3.5937076984E-01      2.9621671726E-01 7.2256223040E-02 4.6082107915E-01 -5.1591044706E-01 -2.3882210830E-01      -7.0911885753E-02 -2.9761434949E-01 -4.6907819175E-02 -5.6778995386E-02 3.4140144776E-02   9.1570559837E-02 -9.6753172630E-02 -1.2810694074E-01 1.0002594863E-01 -6.7833199169E-02     -1.3641558791E-01 1.3986564425E-01 -7.2857114556E-02 -1.1055316208E-01 -1.1060551820E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 5.1266144636E-02 -1.1380028197E-01 -5.5225205713E-02 -9.4115081713E-02    -1.1452796794E-01 4.0797468908E-01 9.4290251640E-02 -7.7098038393E-02 5.0199547505E-02      -2.8776108170E-01 4.3115189994E-02 -1.8647862227E-01 3.0257022284E-02 5.3959271010E-02     -3.0778112406E-01 2.6874072515E-01 4.8009021959E-02 1.6315811631E-03 -2.1482369143E-01      -3.4321871474E-01 2.7394941538E-01 -6.6991299218E-02 4.6573840829E-01 4.6220114130E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 7.4101697842E-02 3.9763887591E-01 -2.3794025389E-01 -1.4242193515E-01     -1.7208028135E-01 -4.0517399899E-01 1.4055555826E-01 -1.2375864215E-01 7.5841747633E-02     3.1799784316E-01 6.1673205160E-02 1.8611993863E-01 -5.4905343113E-02 -4.9952966634E-02     4.1064040499E-01 -4.2398674540E-01 -3.7444581142E-01 2.6536047346E-01 -1.3153670211E-01     -2.0714982357E-01 1.6411795266E-01 -4.3015555582E-02 2.6584074925E-01 2.6427590963E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 2.5073323534E-01 -9.8281637572E-02 8.4336146610E-02 -4.6573659166E-01     -5.6426724908E-01 4.4825914038E-02 4.6270799199E-01 -3.9517084964E-01 2.4842861892E-01      -3.6359726240E-02 2.0686877020E-01 -1.8869539547E-02 1.0621618673E-02 4.2093096070E-03     -6.3185326806E-02 7.5273863268E-02 1.0463865016E-01 -8.1544183269E-02 8.3616157026E-02      1.3266512045E-01 -1.0549578697E-01 2.6682550938E-02 -1.7533071959E-01 -1.7412503922E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -7.5639978482E-02 -2.2608260163E-01 2.3738561360E-01 -6.1201405481E-02    1.8456131624E-02 6.9043985451E-03 -4.9659127687E-03 1.3449983752E-02 1.1318214940E-01       3.5813432420E-01 -1.1317707084E-01 -5.0592421590E-01 5.5446976464E-01 6.2756517709E-01     -1.3245909906E-01 -2.4374789587E-01 -1.4806192474E-01 -3.7440582674E-01 4.1287626646E-02    -1.4384032362E-02 2.3781750553E-02 4.4648605744E-02 8.3132447126E-03 -5.8750602071E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -1.1530471655E-01 -1.5298144389E-01 -1.2487489078E-01 -9.2389494861E-02   2.7768293431E-02 -1.0200913491E-01 -5.8046897057E-03 1.9935010295E-02 1.7127537672E-01      4.0959433771E-02 -1.6917217167E-01 -1.7516765756E-01 -7.5899814234E-02 -6.9038819035E-02   -3.9502278478E-02 1.0384842689E-02 -1.0655520393E-01 -1.1035358878E-01 -5.7914399484E-01    2.4880794588E-01 -3.2990561000E-01 -6.1910054475E-01 -7.2914821196E-02 9.7057181311E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -3.8111373045E-01 8.9919279189E-02 -1.0127516396E-02 -3.0334723016E-01    9.1131572997E-02 2.9131662211E-02 -1.8319154507E-02 6.8115995945E-02 5.6129101445E-01       -8.7736590217E-02 -5.5283645059E-01 1.5495147602E-01 -8.9160283609E-02 -1.0581519551E-01   3.8427364606E-02 4.5847741884E-02 6.2107089869E-02 1.0941227873E-01 1.6852279311E-01        -7.3099165088E-02 9.5881404434E-02 1.8008394019E-01 2.0624855949E-02 -2.8466828984E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 8.0723853247E-02 3.8821982811E-01 5.2224122645E-01 7.2317344206E-02       -6.0172761497E-02 3.3671163499E-01 9.1918824725E-02 1.0665477495E-01 4.7835950014E-02       4.0259382389E-01 -6.1623117339E-02 -2.7086876945E-01 -3.8841532429E-01 -2.5971795380E-01   -4.3867015569E-01 -3.9893053547E-01 3.9234698043E-01 2.7234805954E-01 2.2401413409E-02      -5.2239098378E-02 -5.3994780681E-02 -2.6916484757E-02 5.0766827025E-02 -5.1856872967E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 1.2482433642E-01 1.3949920103E-01 3.2779641265E-03 1.0981220360E-01       -9.0656596642E-02 -5.8875444027E-03 1.4109706766E-01 1.5804192707E-01 7.3095360281E-02      -3.5185751784E-02 -9.0996328072E-02 2.4175417221E-02 7.1762915753E-02 6.1072964474E-02     -9.9742209661E-03 -5.3629183641E-02 1.6160556063E-01 1.4799416234E-01 -2.3634813516E-01     4.8012968703E-01 4.9257610202E-01 2.5618618622E-01 -3.9503901951E-01 3.9531538058E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 4.1173584439E-01 -1.1824560477E-01 -1.0627886496E-01 3.5942651856E-01     -2.9621797037E-01 -7.2243711701E-02 4.6071232312E-01 5.1600399250E-01 2.3881465572E-01      -7.0935997161E-02 -2.9761549983E-01 4.6896366699E-02 5.6764079006E-02 3.4129998302E-02     9.1560082623E-02 9.6744941114E-02 -1.2809630083E-01 -1.0002163740E-01 6.7836770196E-02      -1.3642666016E-01 -1.3982613028E-01 -7.2946994715E-02 1.1064499783E-01 -1.1053123394E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 5.1252745556E-02 -1.1380050927E-01 5.5102077803E-02 -9.4125842645E-02     1.1451043267E-01 -4.0798200145E-01 9.4253368102E-02 7.7101345771E-02 -5.0225140048E-02      -2.8775875680E-01 4.3099131531E-02 1.8648106311E-01 -3.0255236058E-02 5.3960535454E-02     -3.0778348720E-01 -2.6874621590E-01 4.8012098107E-02 -1.6282778372E-03 2.1482170709E-01     -3.4323314745E-01 -2.7390782485E-01 -6.7157506932E-02 -4.6608296656E-01 4.6184916153E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 7.4106048216E-02 3.9763869209E-01 2.3775380940E-01 -1.4255503743E-01      1.7208830650E-01 4.0516026725E-01 1.4054283470E-01 1.2379719299E-01 -7.5810120792E-02       3.1800254953E-01 6.1686527075E-02 -1.8611622289E-01 5.4906548120E-02 -4.9951461853E-02     4.1063392729E-01 4.2398445741E-01 -3.7444267602E-01 -2.6535898162E-01 1.3153673722E-01      -2.0716035415E-01 -1.6409271575E-01 -4.3115399470E-02 -2.6604046051E-01 2.6407766432E-01 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 2.5073444054E-01 -9.8280806026E-02 -8.4944183060E-02 -4.6569205012E-01    5.6426698900E-01 -4.4864717917E-02 4.6262670726E-01 3.9526550145E-01 -2.4843468826E-01      -3.6343526561E-02 2.0686871183E-01 1.8880027904E-02 -1.0616153505E-02 4.2147198416E-03     -6.3198791255E-02 -7.5288211827E-02 1.0464669563E-01 8.1555764841E-02 -8.3611084980E-02     1.3266354937E-01 1.0547306520E-01 2.6744737541E-02 1.7545039396E-01 -1.7398260509E-01 
